도서코드,도서명,저자이름,역자이름,출판사,발행년도,도서가격,대여가능여부,총대여횟수,도서이미지,대분류번호,중분류번호,등록일자,폐기여부,도서이미지경로
0502.016-1,블랙홀과 시간여행,킵 S. 손,박일호,101,2019.03.20,25000,0,0,,5,2,2020.01.29,0,블랙홀과 시간여행.jpg
0502.017-1,어크로스 더 유니버스,김지현| 김동훈,,81,2019.01.21,20000,0,0,,5,2,2020.01.29,0,어크로스 더 유니버스.jpg
0502.018-1,NASA 지구와 우주를 기록하다,NASA,박성래,102,2019.01.10,25000,0,0,,5,2,2020.01.29,0,NASA 지구와 우주를 기록하다.jpg
0502.019-1,별하늘이 좋아,고마이 니나코,최춘성,103,2018.12.24,13000,0,0,,5,2,2020.01.29,0,별하늘이 좋아.jpg
0502.020-1,천문학 콘서트,이광식,,80,2018.09.24,18000,0,0,,5,2,2020.01.29,0,천문학 콘서트.jpg
0701.001-1,스즈키 바이올린 교본,편집부,,104,2009.12.17,12000,0,0,,7,1,2019.07.15,0,
0701.002-1,포인트 기타교본,삼호ETM 편집부,,105,2009.07.15,9000,1,1,,7,1,2019.07.15,0,
0701.003-1,미치도록 쉬운 기타,강경애,,105,2010.04.30,12000,1,1,,7,1,2019.07.15,0,
0701.004-1,플루트교실,정효숙,,106,2006.12.29,10000,0,0,,7,1,2019.07.15,0,
0701.005-1,포인트간추린체르니100,편집부,,106,2004.12.21,4000,0,0,,7,1,2019.07.15,0,
0701.006-1,한 권으로 듣는 클래식,샘 잭슨,,107,2020.02.10,15000,1,1,,7,1,2020.02.10,0,한 권으로 듣는 클래식.jpg
0702.001-1,조형의 원리,데이비드 A.라우어,,108,2002.01.15,18000,0,0,,7,2,2020.02.10,0,
0702.002-1,윤세희 선생님의 리본코사지와 리본소품,윤세희,,109,2012.05.03,22000,0,0,,7,2,2020.02.10,0,
0702.003-1,소원이 이루어지는 미산가 실팔찌,홍수아,,110,2012.07.15,13000,0,0,,7,2,2020.02.10,0,
0702.004-1,피규어의 달인,모형의 왕국,,111,2011.06.16,19800,0,0,,7,2,2020.02.10,0,
0702.005-1,목공 기초,Peter Korn,,112,2013.07.22,22000,0,0,,7,2,2020.02.10,0,
0702.006-1,친절한 가죽공예 DIY,국영주,,113,2012.05.10,35000,0,0,,7,2,2020.02.10,0,
